LESK-22,Leśnych Skrzatów,A|N,52.4120532226,16.8522119522
ZGOR-22,Zgorzelecka,A|N,52.4117652699,16.8597435951
JASN-22,Jasna,A|N,52.4118601636,16.8655800819
SWOB-22,Swoboda,A,52.4117718143,16.8725860119
GROD-22,Grodziska,A|N,52.4101422284,16.8838620186
POLN-22,Polna/Szpital,A|N,52.408980539,16.892863512
SZYL-22,Szylinga,A|N,52.407844999,16.9006741047
STDW-22,Starołęka Dworzec,A,52.366670942,16.9302642345
SWAN-21,Św. Antoniego,A|N,52.3641683544,16.9274425507
ZEGL-21,Żeglarska,A|N,52.3570922087,16.9239664078
DZIE-21,Dziedzicka,A|N,52.3541631391,16.9225394726
STAW-21,Starołęcka Wiadukt n/ż,A|N,52.3512109384,16.9211983681
TARN-21,Tarnobrzeska,A|N,52.3462726883,16.9186878204
STWI-21,Starołęka Wielka,A|N,52.3420647459,16.9181728363
STRZ-21,Strzeleckiego,A|N,52.3356013006,16.9243097305
OZAR-21,Ożarowska,A|N,52.3325593523,16.9321632385
GLUS-21,Głuszyna,A|N,52.3217928467,16.9475269318
DASZ-21,Daszewicka,A|N,52.3185794354,16.9528698921
BL I-21,Bloki I,A|N,52.3148017393,16.9624185562
BLII-21,Bloki II,A|N,52.3128996522,16.9676113129
PIOT-21,Piotrowo,A|N,52.3112992122,16.9739413261
SYPN-21,Sypniewo,A|N,52.3080325607,16.9823741913
SYPN-22,Sypniewo,A|N,52.3080194411,16.9823098183
PIOT-22,Piotrowo,A|N,52.3114959907,16.9742202759
BLII-22,Bloki II,A|N,52.3130045971,16.9683408737
BL I-22,Bloki I,A|N,52.3148935621,16.9622683525
DASZ-22,Daszewicka,A|N,52.3185925519,16.9533205032
GLUS-22,Głuszyna,A|N,52.3222912325,16.9475269318
OZAR-22,Ożarowska,A|N,52.3328215975,16.9321632385
STRZ-22,Strzeleckiego,A|N,52.3360733083,16.9242238998
STWI-22,Starołęka Wielka,A|N,52.3421958405,16.9184088707
TARN-22,Tarnobrzeska,A|N,52.3454861874,16.9185590744
CZER-22,Czernichowska n/ż,A|N,52.3470067431,16.9192886353
STAW-22,Starołęcka Wiadukt n/ż,A|N,52.3513583893,16.9213271141
DZIE-22,Dziedzicka,A|N,52.3541369273,16.9227647781
ZEGL-22,Żeglarska,A|N,52.3570332361,16.9241809845
SWAN-22,Św. Antoniego,A|N,52.3643059348,16.927614212
SWAN-23,Św. Antoniego n/ż,A,52.3642666262,16.9304466248
