84,A,SRDW-22|BAKA-23|KATO-21|WOLK-21|WIAN-21|CHAR-23|OT I-22|KURL-22|OSZO-22|R SZ-25|M1 I-24|R SZ-22|RUSA-22|P K-22|CZ I-22|DZIA-22|OB I-22|OBII-22|SZII-22|OAK-22|OBOH-22|ORZE-22|OPIA-22|RADW-21
84,A,RADW-22|RRAT-21|OPIA-21|ORZE-21|OBOH-21|OAK-21|SZII-21|OBII-21|OB I-21|DZIA-21|SLEZ-21|CZII-23|CZ I-21|P K-21|RUSA-21|R SZ-23|M1 I-23|R SZ-21|OSZO-21|KURL-21|OT I-21|CHAR-22|WIAN-22|WOLK-22|KATO-22|BAKA-22|ROSR-24|SRDW-21
85,A,SRDW-22|ROSR-23|ZAWA-21|KORO-21|STUD-21|RWSC-21|GLOW-21|BALA-22|CHEM-21|WIII-21|NASE-24|ROSO-21|OKOS-21|OWW-21|ESTO-21|UMUL-21|SARM-21|STOI-21|KURP-21|WOKI-21|OSCH-21|OJLY-21|WRTV-21|OSZY-21|SZYI-21|SZLI-21|SODW-23
85,A,SODW-22|SZLI-22|SZYM-22|OSZY-22|WRTV-22|OJLY-22|OSCH-22|WOKI-22|KURP-22|OSSM-21|STOI-24|SARM-22|UMUL-24|ESTO-22|OWW-22|OKOS-22|ROSO-23|NASE-23|WIII-22|CHEM-22|BALA-23|GLOW-22|RWSC-22|STUD-22|KORO-22|ZAWA-22|ROSR-24|SRDW-21
3,T,MT-01|RKAP-01|RKAP-03|SWMN-01|MRCI-01|PLWL-01|LAKO-01|AWF-03|SERA-01|RRAT-02|WIOS-01|OPIA-01|ORZE-01|RSTA-01|RSTA-05|STOM-91|BYST-91|STAR-91
3,T,STAR-92|BYST-02|STOM-02|RSTA-06|RSTA-02|ORZE-02|OPIA-02|WIOS-02|RRAT-04|RRAT-01|SERA-02|AWF-02|LAKO-02|PLWL-02|MRCI-92|PLWO-91|FRRY-02|MT-04
7,T,ZAWA-02|ROSR-03|BAKA-01|KORN-01|RRAT-03|WIOS-01|OPIA-01|ORZE-01|RSTA-01|RSTA-03|HEWI-01|ROLN-01|TRAU-03|KOLE-01|GLHE-03|ARCI-01|AREN-01|RJNJ-03|BUKO-01|ZERO-01|OGDY-01
7,T,OGDY-02|ZERO-03|BUKO-02|RJNJ-04|AREN-02|ARCI-02|GLHE-04|KOLE-02|TRAU-04|ROLN-02|HEWI-02|RSTA-04|RSTA-02|ORZE-02|OPIA-02|WIOS-02|RRAT-04|KORN-02|KORN-05|BAKA-02|ROSR-04|ROSR-07|ZAWA-01
245,A|N,MOGI-22|PUST-21|MILO-21|BONY-21|SWIA-22|SOBI-22|ZIEM-22|MLYN-22|PIWN-22|PRZM-22|ZELA-22|BIGO-22|CHAR-23|OT I-22|PIAS-24|OCZ-21|ZIII-21|Z II-21|Z I-21|OBII-21|OBOD-21|WARO-21|OKOP-21|FORT-21|STAR-21
245,A|N,STAR-22|FORT-22|OKOP-22|WARO-22|OBOD-22|OB I-23|OBII-22|Z I-22|Z II-22|ZIII-22|KRUS-21|OCZ-22|PIAS-21|OT I-21|CHAR-21|BIGO-21|ZELA-21|PRZM-21|PIWN-21|MLYN-21|ZIEM-21|SOBI-21|SWIA-21|MILO-22|PUST-22|MOGI-21
244,A|N,RADW-22|OJAG-21|LIII-21|WIAD-21|URSZ-21|SANT-21|STRA-21|POKR-21|NIZA-21|JARO-21|KRNY-21|KRSZ-21|KRWI-21|SIEW-21|TAKA-21|CHRZ-21|OSNZ-21|SPKA-21|SPLA-22|GOSP-22|OLIW-22|SZWO-22|WIEP-22|LUGA-22|LIII-22|OJAG-22|RADW-21
